date,daily_gross,theatres
2018-02-16,75941146,"4,020"
2018-02-17,65995366,"4,020"
2018-02-18,60067439,"4,020"
2018-02-19,40151729,"4,020"
2018-02-20,20857361,"4,020"
2018-02-21,14688057,"4,020"
2018-02-22,14253324,"4,020"
2018-02-23,28789877,"4,020"
2018-02-24,47553478,"4,020"
2018-02-25,35315480,"4,020"
2018-02-26,8098481,"4,020"
2018-02-27,10204038,"4,020"
2018-02-28,6876570,"4,020"
2018-03-01,6607691,"4,020"
2018-03-02,16257536,"4,084"
2018-03-03,30052665,"4,084"
2018-03-04,19996734,"4,084"
2018-03-05,4720738,"4,084"
2018-03-06,6258583,"4,084"
2018-03-07,3941783,"4,084"
2018-03-08,4251525,"4,084"
2018-03-09,10018784,"3,942"
2018-03-10,18352112,"3,942"
2018-03-11,12446683,"3,942"
2018-03-12,4035653,"3,942"
2018-03-13,5167907,"3,942"
2018-03-14,3843374,"3,942"
2018-03-15,3632414,"3,942"
2018-03-16,7482380,"3,834"
2018-03-17,11558877,"3,834"
2018-03-18,7609433,"3,834"
2018-03-19,2188463,"3,834"
2018-03-20,2834515,"3,834"
2018-03-21,2052932,"3,834"
2018-03-22,2155108,"3,834"
2018-03-23,4415270,"3,370"
2018-03-24,7643962,"3,370"
2018-03-25,5040386,"3,370"
2018-03-26,1819598,"3,370"
2018-03-27,2456628,"3,370"
2018-03-28,1742732,"3,370"
2018-03-29,2059822,"3,370"
2018-03-30,4090617,"2,988"
2018-03-31,4300222,"2,988"
2018-04-01,3096076,"2,988"
2018-04-02,1635447,"2,988"
2018-04-03,1667090,"2,988"
2018-04-04,1397293,"2,988"
2018-04-05,1302361,"2,988"
2018-04-06,2348902,"2,747"
2018-04-07,3929037,"2,747"
2018-04-08,2427029,"2,747"
2018-04-09,641593,"2,747"
2018-04-10,923753,"2,747"
2018-04-11,632898,"2,747"
2018-04-12,626570,"2,747"
2018-04-13,1449293,"2,180"
2018-04-14,2505569,"2,180"
2018-04-15,1823034,"2,180"
2018-04-16,535137,"2,180"
2018-04-17,613868,"2,180"
2018-04-18,505165,"2,180"
2018-04-19,554521,"2,180"
2018-04-20,1225404,"1,930"
2018-04-21,2229298,"1,930"
2018-04-22,1477925,"1,930"
2018-04-23,459094,"1,930"
2018-04-24,661084,"1,930"
2018-04-25,609661,"1,930"
2018-04-26,523914,"1,930"
2018-04-27,1369846,"1,650"
2018-04-28,2110787,"1,650"
2018-04-29,1255795,"1,650"
2018-04-30,431177,"1,650"
2018-05-01,479309,"1,650"
2018-05-02,350729,"1,650"
2018-05-03,354483,"1,650"
2018-05-04,927743,"1,641"
2018-05-05,1512050,"1,641"
2018-05-06,815184,"1,641"
2018-05-07,241681,"1,641"
2018-05-08,311374,"1,641"
2018-05-09,232496,"1,641"
2018-05-10,233468,"1,641"
2018-05-11,556249,"1,370"
2018-05-12,900185,"1,370"
2018-05-13,620773,"1,370"
2018-05-14,162347,"1,370"
2018-05-15,198067,"1,370"
2018-05-16,160829,"1,370"
2018-05-17,108724,"1,370"
2018-05-18,226955,935
2018-05-19,391144,935
2018-05-20,242343,935
2018-05-21,81235,935
2018-05-22,88204,935
2018-05-23,78622,935
2018-05-24,65954,935
2018-05-25,121934,440
2018-05-26,189036,440
2018-05-27,170136,440
2018-05-28,127885,440
2018-05-29,49508,440
2018-05-30,43627,440
2018-05-31,44581,440
2018-06-01,70350,284
2018-06-02,110148,284
2018-06-03,66403,284
2018-06-04,30750,284
2018-06-05,33500,284
2018-06-06,29757,284
2018-06-07,27210,284
2018-06-08,37265,186
2018-06-09,58555,186
2018-06-10,42873,186
2018-06-11,17538,186
2018-06-12,21765,186
2018-06-13,22113,186
2018-06-14,17178,186
2018-06-15,44906,146
2018-06-16,62110,146
2018-06-17,37967,146
2018-06-18,11964,146
2018-06-19,16329,146
2018-06-20,14844,146
2018-06-21,14994,146
2018-06-22,24089,115
2018-06-23,31741,115
2018-06-24,19895,115
2018-06-25,7751,115
2018-06-26,9390,115
2018-06-27,9023,115
2018-06-28,11341,115
2018-06-29,9506,80
2018-06-30,12578,80
2018-07-01,10340,80
2018-07-02,5385,80
2018-07-03,6679,80
2018-07-04,8150,80
2018-07-05,7371,80
2018-07-06,11902,52
2018-07-07,13193,52
2018-07-08,6017,52
2018-07-09,2408,52
2018-07-10,3182,52
2018-07-11,2460,52
2018-07-12,3124,52
2018-07-13,4738,28
2018-07-14,5527,28
2018-07-15,3594,28
2018-07-16,1227,28
2018-07-17,1801,28
2018-07-18,1509,28
2018-07-19,1473,28
2018-07-20,7212,154
2018-07-21,10269,154
2018-07-22,7964,154
2018-07-23,5121,154
2018-07-24,5876,154
2018-07-25,5292,154
2018-07-26,3838,154
2018-07-27,1070,15
2018-07-28,780,15
2018-07-29,651,15
2018-07-30,404,15
2018-07-31,693,15
2018-08-01,400,15
2018-08-02,12594,15
2018-08-03,15389,25
2018-08-04,11846,25
2018-08-05,10154,25
2018-08-06,11434,25
2018-08-07,15236,25
2018-08-08,14452,25
2018-08-09,12029,25